week_end_date,total_weekly_sales,pred_sales,error,abs_error,rmse
2019-01-06,17619.0,26469.134671713688,8850.134671713688,8850.134671713688,8850.134671713688
2019-01-13,31675.0,31029.152488355307,-645.8475116446934,645.8475116446934,645.8475116446934
2019-01-20,36689.0,33831.004805304605,-2857.995194695395,2857.995194695395,2857.995194695395
2019-01-27,33064.0,30542.540956457717,-2521.459043542287,2521.459043542287,2521.459043542287
2019-02-03,21819.0,23560.99029117013,1741.990291170132,1741.990291170132,1741.990291170132
2019-02-10,640.0,10239.142016588834,9599.142016588834,9599.142016588834,9599.142016588834
2019-02-17,20790.0,26777.35807635024,5987.358076350236,5987.358076350236,5987.358076350236
2019-02-24,23117.0,29153.949936911627,6036.949936911627,6036.949936911627,6036.949936911627
2019-03-03,22300.0,26870.878649491056,4570.878649491056,4570.878649491056,4570.878649491056
2019-03-10,27074.0,30478.117042417725,3404.1170424177253,3404.1170424177253,3404.1170424177253
2019-03-17,17715.0,23283.77031965225,5568.770319652249,5568.770319652249,5568.770319652249
2019-03-24,25664.0,28586.846146856955,2922.846146856955,2922.846146856955,2922.846146856955
2019-03-31,30100.0,32261.07130650603,2161.07130650603,2161.07130650603,2161.07130650603
2019-04-07,18864.0,23804.05446908783,4940.054469087831,4940.054469087831,4940.054469087831
2019-04-14,22519.0,29076.18080191597,6557.180801915969,6557.180801915969,6557.180801915969
2019-04-21,26621.0,32424.957362191944,5803.957362191944,5803.957362191944,5803.957362191944
2019-04-28,33361.0,36170.71707208669,2809.7170720866925,2809.7170720866925,2809.7170720866925
2019-05-05,19740.0,20397.228509987333,657.2285099873334,657.2285099873334,657.2285099873334
2019-05-12,21707.0,24807.238098617487,3100.2380986174867,3100.2380986174867,3100.2380986174867
2019-05-19,27360.0,30769.620655480197,3409.620655480194,3409.620655480194,3409.620655480194
2019-05-26,20805.0,22826.87338961309,2021.8733896130907,2021.8733896130907,2021.8733896130907
2019-06-02,29462.0,31880.27370432736,2418.2737043273555,2418.2737043273555,2418.2737043273555
2019-06-09,22502.0,25323.40354992345,2821.4035499234487,2821.4035499234487,2821.4035499234487
2019-06-16,30038.0,32066.600600384103,2028.600600384103,2028.600600384103,2028.600600384103
2019-06-23,19286.0,23878.619034550095,4592.619034550098,4592.619034550098,4592.619034550098
2019-06-30,27112.0,30709.784144629863,3597.784144629866,3597.784144629866,3597.784144629866
2019-07-07,25114.0,27577.03210590188,2463.032105901879,2463.032105901879,2463.032105901879
2019-07-14,28248.0,30824.038676308646,2576.0386763086462,2576.0386763086462,2576.0386763086462
2019-07-21,21915.0,25079.335553899466,3164.3355538994656,3164.3355538994656,3164.3355538994656
2019-07-28,25718.0,28879.455920042823,3161.455920042823,3161.455920042823,3161.455920042823
2019-08-04,27122.0,30732.745268511007,3610.745268511008,3610.745268511008,3610.745268511008
2019-08-11,27990.0,30976.992609033925,2986.992609033925,2986.992609033925,2986.992609033925
2019-08-18,24757.0,27077.76462042874,2320.764620428741,2320.764620428741,2320.764620428741
2019-08-25,23273.0,25763.055007002717,2490.055007002713,2490.055007002713,2490.055007002713
2019-09-01,25855.0,28792.825618381496,2937.825618381496,2937.825618381496,2937.825618381496
2019-09-08,28091.0,31651.073695845207,3560.073695845207,3560.073695845207,3560.073695845207
2019-09-15,27754.0,30782.15303784887,3028.1530378488715,3028.1530378488715,3028.1530378488715
2019-09-22,31030.0,38269.11988501952,7239.119885019514,7239.119885019514,7239.119885019514
2019-09-29,40448.0,42972.24930099499,2524.2493009949903,2524.2493009949903,2524.2493009949903
2019-10-06,2620.0,10356.90845243515,7736.908452435149,7736.908452435149,7736.908452435149
2019-10-13,31291.0,34859.7723601082,3568.7723601082034,3568.7723601082034,3568.7723601082034
2019-10-20,21143.0,27294.88718360158,6151.887183601579,6151.887183601579,6151.887183601579
2019-10-27,30152.0,33495.10882761676,3343.108827616757,3343.108827616757,3343.108827616757
2019-11-03,18323.0,23468.561611872497,5145.561611872497,5145.561611872497,5145.561611872497
2019-11-10,29473.0,30936.142163083263,1463.1421630832665,1463.1421630832665,1463.1421630832665
2019-11-17,27208.0,28729.52662820512,1521.526628205116,1521.526628205116,1521.526628205116
2019-11-24,28615.0,31025.68098487005,2410.680984870054,2410.680984870054,2410.680984870054
2019-12-01,21237.0,25197.66079884612,3960.6607988461183,3960.6607988461183,3960.6607988461183
2019-12-08,30513.0,31255.35248037413,742.3524803741348,742.3524803741348,742.3524803741348
2019-12-15,32256.0,32857.595177973235,601.595177973235,601.595177973235,601.595177973235
2019-12-22,29722.0,33246.31550066453,3524.315500664532,3524.315500664532,3524.315500664532
2019-12-29,22008.0,23956.437568175334,1948.4375681753336,1948.4375681753336,1948.4375681753336
2025-12-07,33384.0,33337.77988070073,-46.22011929927248,46.22011929927248,46.22011929927248
2025-12-07,33478.7023242274,33337.77988070073,-140.9224435266733,140.9224435266733,140.9224435266733
2025-12-14,35264.0,35207.28830644985,-56.71169355014717,56.71169355014717,56.71169355014717
2025-12-14,34735.34453029944,35207.28830644985,471.943776150416,471.943776150416,471.943776150416
2025-12-21,29424.0,29805.371344780597,381.37134478059306,381.37134478059306,381.37134478059306
2025-12-21,29799.99700265064,29805.371344780597,5.374342129951401,5.374342129951401,5.374342129951401
2025-12-28,45138.0,45746.065240282514,608.0652402825144,608.0652402825144,608.0652402825144
2025-12-28,46006.96245539201,45746.065240282514,-260.8972151094931,260.8972151094931,260.8972151094931
2026-01-04,13968.0,14898.998649268184,930.9986492681836,930.9986492681836,930.9986492681836
2026-01-04,13820.746470827418,14898.998649268184,1078.2521784407654,1078.2521784407654,1078.2521784407654
