week_end_date,total_weekly_sales,pred_sales,error,abs_error,rmse
2025-12-07,33384.0,33620.47314482461,236.4731448246093,236.4731448246093,236.4731448246093
2025-12-07,33661.77287341003,33620.47314482461,-41.29972858542169,41.29972858542169,41.29972858542169
2025-12-14,35264.0,35130.479671605804,-133.52032839419553,133.52032839419553,133.52032839419553
2025-12-14,35881.522417939006,35130.479671605804,-751.0427463332016,751.0427463332016,751.0427463332016
2025-12-21,29424.0,30094.244817168143,670.2448171681426,670.2448171681426,670.2448171681426
2025-12-21,29648.87144750242,30094.244817168143,445.3733696657218,445.3733696657218,445.3733696657218
2025-12-28,45138.0,45944.40137665544,806.4013766554344,806.4013766554344,806.4013766554344
2025-12-28,46322.62304635666,45944.40137665544,-378.2216697012264,378.2216697012264,378.2216697012264
2026-01-04,29104.0,28759.83815626371,-344.1618437362886,344.1618437362886,344.1618437362886
2026-01-04,29351.741657016388,28759.83815626371,-591.9035007526763,591.9035007526763,591.9035007526763
